YGD_ID	gene_name	NCBI_ID	chr	start	end	strand	gene_type	gene_description	human_gene_ID	human_gene_name	yeast_gene_similarity	interpro_ID	interpro_description	GO_slim_ID	GO_slim_description
ETS1-1															
ETS1-2															
ETS2-1															
ETS2-2															
HRA1															
ICR1															
IRT1															
ITS1-1															
ITS1-2															
ITS2-1															
ITS2-2															
LSR1															
NME1															
PWR1															
Q0010	Q0010		Mito	3952	4338	+	protein_coding	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017 [Source:SGD;Acc:S000007257]						GO:0005739	mitochondrion
Q0017	Q0017		Mito	4254	4415	+	protein_coding	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010 [Source:SGD;Acc:S000007258]						GO:0005739	mitochondrion
Q0020															
Q0032	Q0032		Mito	11667	11957	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007259]						GO:0005739	mitochondrion
Q0045	COX1	854598	Mito	13818	26701	+	protein_coding	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007260]	ENSG00000198804	MT-CO1	51.6569	IPR000883;IPR023615;IPR023616;IPR033944;IPR036927	Cytochrome c oxidase subunit I;Cytochrome c oxidase, subunit I, copper-binding site;Cytochrome c oxidase-like, subunit I domain;Cytochrome c oxidase subunit I domain;Cytochrome c oxidase-like, subunit I  superfamily	GO:0006091;GO:0045333;GO:0055086;GO:0016491;GO:0022857;GO:0043167;GO:0006811;GO:0055085	generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transmembrane transporter activity;ion binding;ion transport;transmembrane transport
Q0050		854593	Mito	13818	16322	+	protein_coding	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007261]				IPR000477;IPR003615;IPR024937;IPR036927	Reverse transcriptase domain;HNH nuclease;Domain X;Cytochrome c oxidase-like, subunit I  superfamily	GO:0005739;GO:0006397;GO:0006310;GO:0016740;GO:0016779	mitochondrion;mRNA processing;DNA recombination;transferase activity;nucleotidyltransferase activity
Q0055		854594	Mito	13818	18830	+	protein_coding	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007262]				IPR000477;IPR000883;IPR003615;IPR023616;IPR024937;IPR036927	Reverse transcriptase domain;Cytochrome c oxidase subunit I;HNH nuclease;Cytochrome c oxidase-like, subunit I domain;Domain X;Cytochrome c oxidase-like, subunit I  superfamily	GO:0005739;GO:0006397;GO:0006091;GO:0045333;GO:0016491;GO:0022857;GO:0043167;GO:0006310;GO:0016740;GO:0016779	mitochondrion;mRNA processing;generation of precursor metabolites and energy;cellular respiration;oxidoreductase activity;transmembrane transporter activity;ion binding;DNA recombination;transferase activity;nucleotidyltransferase activity
Q0060	AI3	854595	Mito	13818	19996	+	protein_coding	Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007263]				IPR000883;IPR004860;IPR023616;IPR027434;IPR036927	Cytochrome c oxidase subunit I;Homing endonuclease, LAGLIDADG;Cytochrome c oxidase-like, subunit I domain;Homing endonuclease;Cytochrome c oxidase-like, subunit I  superfamily	GO:0005739;GO:0016787;GO:0004518;GO:0006397;GO:0006091;GO:0045333;GO:0055086;GO:0016491;GO:0022857;GO:0043167;GO:0006811;GO:0055085;GO:0006310;GO:0008380	mitochondrion;hydrolase activity;nuclease activity;mRNA processing;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transmembrane transporter activity;ion binding;ion transport;transmembrane transport;DNA recombination;RNA splicing
Q0065	AI4	854596	Mito	13818	21935	+	protein_coding	Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity [Source:SGD;Acc:S000007264]	ENSG00000198804	MT-CO1	34.308	IPR000883;IPR004860;IPR023616;IPR027434;IPR036927	Cytochrome c oxidase subunit I;Homing endonuclease, LAGLIDADG;Cytochrome c oxidase-like, subunit I domain;Homing endonuclease;Cytochrome c oxidase-like, subunit I  superfamily	GO:0005739;GO:0016787;GO:0004518;GO:0006397;GO:0006091;GO:0045333;GO:0055086;GO:0016491;GO:0022857;GO:0043167;GO:0006811;GO:0055085;GO:0006310;GO:0008380	mitochondrion;hydrolase activity;nuclease activity;mRNA processing;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transmembrane transporter activity;ion binding;ion transport;transmembrane transport;DNA recombination;RNA splicing
Q0070		854597	Mito	13818	23167	+	protein_coding	Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007265]	ENSG00000198804	MT-CO1	45.0292	IPR000883;IPR004860;IPR023615;IPR023616;IPR027434;IPR036927	Cytochrome c oxidase subunit I;Homing endonuclease, LAGLIDADG;Cytochrome c oxidase, subunit I, copper-binding site;Cytochrome c oxidase-like, subunit I domain;Homing endonuclease;Cytochrome c oxidase-like, subunit I  superfamily	GO:0005739;GO:0016787;GO:0004518;GO:0006397;GO:0006091;GO:0045333;GO:0055086;GO:0016491;GO:0022857;GO:0043167;GO:0006811;GO:0055085;GO:0008380;GO:0006310	mitochondrion;hydrolase activity;nuclease activity;mRNA processing;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process;oxidoreductase activity;transmembrane transporter activity;ion binding;ion transport;transmembrane transport;RNA splicing;DNA recombination
Q0075		854599	Mito	24156	25255	+	protein_coding	Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG [Source:SGD;Acc:S000007266]				IPR004860;IPR027434	Homing endonuclease, LAGLIDADG;Homing endonuclease	GO:0005739;GO:0003723;GO:0003677;GO:0016787;GO:0004518;GO:0008380;GO:0006310	mitochondrion;RNA binding;DNA binding;hydrolase activity;nuclease activity;RNA splicing;DNA recombination
Q0080	ATP8	854600;24573117	Mito	27666	27812	+	protein_coding	Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase [Source:SGD;Acc:S000007267]				IPR009230	ATP synthase protein 8, fungi	GO:0006811;GO:0055086;GO:0055085;GO:0022857	ion transport;nucleobase-containing small molecule metabolic process;transmembrane transport;transmembrane transporter activity
Q0085	ATP6	854601	Mito	28487	29266	+	protein_coding	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia [Source:SGD;Acc:S000007268]	ENSG00000198899	MT-ATP6	30.9735	IPR000568;IPR023011;IPR035908	ATP synthase, F0 complex, subunit A;ATP synthase, F0 complex, subunit A, active site;ATP synthase, F0 complex, subunit A superfamily	GO:0006811;GO:0055086;GO:0055085;GO:0022857	ion transport;nucleobase-containing small molecule metabolic process;transmembrane transport;transmembrane transporter activity
Q0092	Q0092		Mito	30874	31014	+	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007269]						GO:0005739	mitochondrion
Q0105	COB	854583	Mito	36540	43647	+	protein_coding	Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p [Source:SGD;Acc:S000007270]	ENSG00000198727	MT-CYB	46.3158	IPR005797;IPR005798;IPR016174;IPR027387;IPR030689;IPR036150	Cytochrome b/b6, N-terminal;Cytochrome b/b6, C-terminal;Di-haem cytochrome, transmembrane;Cytochrome b/b6-like domain superfamily;Cytochrome b;Cytochrome b/b6, C-terminal domain superfamily	GO:0043167;GO:0016020;GO:0016491;GO:0006091;GO:0045333;GO:0055086	ion binding;membrane;oxidoreductase activity;generation of precursor metabolites and energy;cellular respiration;nucleobase-containing small molecule metabolic process
Q0110		854604	Mito	36540	38579	+	protein_coding	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007271]				IPR004860;IPR005797;IPR016174;IPR027387;IPR027434	Homing endonuclease, LAGLIDADG;Cytochrome b/b6, N-terminal;Di-haem cytochrome, transmembrane;Cytochrome b/b6-like domain superfamily;Homing endonuclease	GO:0005739;GO:0016020;GO:0016491;GO:0016787;GO:0004518;GO:0006397;GO:0008380;GO:0006091	mitochondrion;membrane;oxidoreductase activity;hydrolase activity;nuclease activity;mRNA processing;RNA splicing;generation of precursor metabolites and energy
Q0115		854605	Mito	36540	40265	+	protein_coding	Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007272]				IPR004860;IPR005797;IPR016174;IPR027387;IPR027434	Homing endonuclease, LAGLIDADG;Cytochrome b/b6, N-terminal;Di-haem cytochrome, transmembrane;Cytochrome b/b6-like domain superfamily;Homing endonuclease	GO:0005739;GO:0016020;GO:0003723;GO:0016491;GO:0016787;GO:0004518;GO:0006397;GO:0008380;GO:0006091	mitochondrion;membrane;RNA binding;oxidoreductase activity;hydrolase activity;nuclease activity;mRNA processing;RNA splicing;generation of precursor metabolites and energy
Q0120		854582	Mito	36540	42251	+	protein_coding	Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007273]				IPR004860;IPR005797;IPR016174;IPR027387;IPR027434	Homing endonuclease, LAGLIDADG;Cytochrome b/b6, N-terminal;Di-haem cytochrome, transmembrane;Cytochrome b/b6-like domain superfamily;Homing endonuclease	GO:0005739;GO:0016020;GO:0003723;GO:0016491;GO:0016787;GO:0004518;GO:0006397;GO:0008380;GO:0006091	mitochondrion;membrane;RNA binding;oxidoreductase activity;hydrolase activity;nuclease activity;mRNA processing;RNA splicing;generation of precursor metabolites and energy
Q0130	OLI1	854584;24573116	Mito	46723	46953	+	protein_coding	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 [Source:SGD;Acc:S000007274]				IPR000454;IPR002379;IPR020537;IPR035921;IPR038662	ATP synthase, F0 complex, subunit C;V-ATPase proteolipid subunit C-like domain;ATP synthase, F0 complex, subunit C, DCCD-binding site;F/V-ATP synthase subunit C superfamily;F1F0 ATP synthase subunit C superfamily	GO:0005740;GO:0006811;GO:0055086;GO:0055085;GO:0022857;GO:0008289	mitochondrial envelope;ion transport;nucleobase-containing small molecule metabolic process;transmembrane transport;transmembrane transporter activity;lipid binding
Q0140	VAR1	854586	Mito	48901	50097	+	protein_coding	Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions [Source:SGD;Acc:S000007275]				IPR007980	Ribosomal protein VAR1	GO:0005840;GO:0005198;GO:0003735;GO:0032543	ribosome;structural molecule activity;structural constituent of ribosome;mitochondrial translation
